COD OFICINA,ACTUAL COD REGION COMERCIAL,NUEVO COD REGION COMERCIAL,ACTUAL COD ZONA COMERCIAL,NUEVO COD ZONA COMERCIAL,ACTUAL NOMBRE REGION COMERCIAL,NUEVO NOMBRE REGION COMERCIAL,ACTUAL NOMBRE ZONA COMERCIAL,NUEVO NOMBRE ZONA COMERCIAL,Actual Nombre oficina,NUEVO NOMBRE OFICINA,NOMBRE GERENCIA/AREA,NOMBRE DISTRITO ACTUAL,NOMBRE NUEVO DISTRITO
0106,42,,013,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 13,GZ DISTRITOS BTA 2,CENTRO INTERNACIONAL,No Aplica,,Gcia. Distrito Bogotá 13,Distrito BTA 9
0107,42,,012,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 12,GZ DISTRITOS BTA 2,GRAN SAN VICTORINO  ,No Aplica,,Gcia. Distrito Bogotá 12,Distrito BTA 11
0111,04,07,003,002,ANT-OCC-TOLIMA      ,DIRECCION OCCIDENTE,NARINO CAUCA        ,GZ NARINO Y CAUCA,SANTANDER DE QUILICH,No Aplica,,-,-
0114,42,04,054,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE, G.DISTRITO MDLLIN 8 ,GZ DISTRITOS VALLE DE ABURRA,CENTRAL DE ABASTOS  ,No Aplica,,Gcia. Distrito Medellín 8,Distrito Medellin 6
0116,06,41,004,009,NORORIENTE          ,DIRECCION ORIENTE, MAGDALENA MEDIO     ,GZ MAGDALENA MEDIO,AGUACHICA           ,No Aplica,,-,-
0120,08,,001,005,CENTRAL             ,DIRECCION CENTRAL, BOYACA              ,GZ TERRITORIOS ORIENTE COLOMBIANO,AGUAZUL             ,No Aplica,,-,Distrito Yopal
0121,04,07,003,002,ANT-OCC-TOLIMA      ,DIRECCION OCCIDENTE, NARINO CAUCA        ,GZ NARINO Y CAUCA,PASTO PLAZA         ,No Aplica,,-,Distrito Pasto
0123,42,,019,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 19,GZ DISTRITOS BTA 3,UNISUR              ,No Aplica,,Gcia. Distrito Bogotá 19,Distrito BTA 16
0124,08,,003,001,CENTRAL             ,DIRECCION CENTRAL,CUNDINAMARCA        ,GZ CUNDINAMARCA SUR,ANOLAIMA            ,No Aplica,,-,-
0125,42,06,032,003,DIRECCION DISTRITOS ,DIRECCION CARIBE, G.DISTRITO BQUILLA 1,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,OF EDF BCO BTA BQUIL,No Aplica,,Gcia. Distrito B/quilla 1,Distrito B/quilla 1
0128,04,,007,003,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE,URABA-MPIOS ANTIOQ  ,GZ MUNICIPOS DE ANTIOQUIA,CC NUESTRO URABA    ,No Aplica,,-,Distrito Uraba
0130,42,,014,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 14,GZ DISTRITOS BTA 2,TRINIDAD GALAN      ,No Aplica,,Gcia. Distrito Bogotá 14,Distrito BTA 13
0131,42,,005,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 5 ,GZ DISTRITOS BTA 1,C CIAL PALATINO     ,No Aplica,,Gcia. Distrito Bogotá 5,Distrito BTA 2
0132,42,,021,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 21,GZ DISTRITOS BTA 3,KENNEDY CARAVANA    ,No Aplica,,Gcia. Distrito Bogotá 21,Distrito BTA 19
